KiB Mem:   4016704 total,  2007604 used,  2009100 free,   182256 buffers
KiB Mem:   4016704 total,  2007604 used,  2009100 free,   182256 buffers
KiB Mem:   4016704 total,  2007604 used,  2009100 free,   182256 buffers
KiB Mem:   4016704 total,  2007604 used,  2009100 free,   182256 buffers
KiB Mem:   4016704 total,  2007604 used,  2009100 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007720 used,  2008984 free,   182256 buffers
KiB Mem:   4016704 total,  2007712 used,  2008992 free,   182256 buffers
KiB Mem:   4016704 total,  2007712 used,  2008992 free,   182256 buffers
KiB Mem:   4016704 total,  2007712 used,  2008992 free,   182256 buffers
KiB Mem:   4016704 total,  2007712 used,  2008992 free,   182256 buffers
KiB Mem:   4016704 total,  2007712 used,  2008992 free,   182256 buffers
KiB Mem:   4016704 total,  2007572 used,  2009132 free,   182256 buffers
KiB Mem:   4016704 total,  2007572 used,  2009132 free,   182256 buffers
KiB Mem:   4016704 total,  2007572 used,  2009132 free,   182256 buffers
KiB Mem:   4016704 total,  2007572 used,  2009132 free,   182256 buffers
KiB Mem:   4016704 total,  2007572 used,  2009132 free,   182256 buffers
KiB Mem:   4016704 total,  2007572 used,  2009132 free,   182256 buffers
KiB Mem:   4016704 total,  2007836 used,  2008868 free,   182264 buffers
KiB Mem:   4016704 total,  2007836 used,  2008868 free,   182264 buffers
KiB Mem:   4016704 total,  2007836 used,  2008868 free,   182264 buffers
