Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
350 20150424 15:21:03 96 0 4 0 0 0 0 0 100 1059 2083 0 291 2 2.42 2.49 2.38 2 1 4016700 3783656 233044 0 8300 2632312 19492 47804 1102456 1907412 0 8120316 0 8120316 0 0 80 0 0 2532972 16884 3 10100 0 0 0 0 8840 20 8 18 2 0 0 0 0 0 130 0 130 16884 3 16887 3 0 3
360 20150424 15:21:13 96 0 3 0 0 0 0 0 100 1058 2048 1 291 2 2.51 2.50 2.38 2 0 4016700 3752516 264184 0 8308 2602172 19468 47804 1101080 1906056 0 8120316 0 8120316 0 0 84 0 0 2502844 16417 3 10329 0 0 0 0 8828 23 32 3 43 0 0 0 0 0 126 0 126 16442 3 16445 3 0 3
370 20150424 15:21:23 96 0 3 0 0 0 0 0 100 1071 2102 0 291 2 2.52 2.50 2.39 2 0 4016700 3774836 241864 0 8316 2625192 19488 47804 1100620 1905648 0 8120316 0 8120316 0 0 72 0 0 2525916 17282 4 9541 0 0 0 0 8836 36 32 26 32 0 1 0 0 0 133 0 134 17269 4 17274 2 0 2
380 20150424 15:21:33 95 0 4 0 0 0 0 0 100 1116 2119 1 291 2 2.68 2.54 2.40 2 0 4016700 3762560 254140 0 8308 2611864 19480 47804 1101356 1906280 0 8120316 0 8120316 0 0 64 0 0 2512460 16645 4 10490 0 0 0 0 8832 50 57 30 67 0 1 0 0 0 129 0 129 16658 4 16662 2 0 3
390 20150424 15:21:43 96 0 3 0 0 0 0 0 100 1056 2095 0 291 2 2.57 2.52 2.39 2 0 4016700 3802372 214328 0 8316 2649536 19488 47804 1102768 1907708 0 8120316 0 8120316 0 0 56 0 0 2550284 16732 4 8924 0 0 0 0 8836 10 3 2 1 0 2 0 0 0 130 1 130 16732 4 16736 1 0 1
400 20150424 15:21:53 96 0 4 0 0 0 0 0 100 1090 2144 1 291 2 2.56 2.52 2.39 2 1 4016700 3782664 234036 0 8316 2631412 19500 47804 1101768 1906608 0 8120316 0 8120316 0 0 92 0 0 2532076 17015 3 9893 0 0 0 0 8848 19 20 2 26 0 1 0 0 0 130 0 130 16989 3 16992 3 0 4
410 20150424 15:22:03 96 0 4 0 0 0 0 0 100 1065 2059 1 291 2 2.55 2.52 2.40 2 0 4016700 3773728 242972 0 8308 2626292 19480 47804 1098164 1902992 0 8120316 0 8120316 0 0 72 0 0 2527036 16476 3 11132 0 0 0 0 8836 35 35 23 37 0 0 0 0 0 126 1 127 16501 3 16504 3 0 3
420 20150424 15:22:13 96 0 3 0 0 0 0 0 100 1045 2063 0 291 2 2.46 2.50 2.39 2 0 4016700 3797900 218800 0 8308 2650544 19476 47804 1097064 1901712 0 8120316 0 8120316 0 0 68 0 0 2551300 17002 4 10437 0 0 0 0 8828 31 27 18 28 0 0 0 0 0 126 1 126 17002 4 17006 8 0 8
430 20150424 15:22:23 96 0 4 0 0 0 0 0 100 1093 2299 1 291 3 2.54 2.52 2.40 3 0 4016700 3760088 256612 0 8316 2613476 19488 47804 1097280 1901952 0 8120316 0 8120316 0 0 84 0 0 2514168 19664 2 8518 0 0 0 0 8844 31 47 3 65 0 1 0 0 0 144 0 144 19651 2 19653 10 0 10
440 20150424 15:22:33 95 0 4 0 0 0 0 0 100 1097 2646 1 291 2 2.54 2.52 2.40 2 0 4016700 3751284 265416 0 8316 2605356 19480 47804 1096048 1900812 0 8120316 0 8120316 0 0 64 0 0 2505968 24323 7 5475 0 0 0 0 8832 20 7 11 2 0 1 0 0 0 165 1 166 24336 7 24343 26 0 26
450 20150424 15:22:43 96 0 3 0 0 1 0 0 100 1107 2671 0 291 3 2.45 2.50 2.40 2 0 4016700 3750812 265888 0 8316 2605656 19512 47804 1096088 1901668 0 8120316 0 8120316 0 0 56 0 0 2506232 24538 3 3253 0 0 0 0 8860 41 21 30 13 0 3 0 0 0 165 0 166 24525 3 24528 27 0 27
460 20150424 15:22:53 96 0 3 0 0 0 0 0 100 1084 2283 1 291 2 2.38 2.48 2.39 2 0 4016700 3787616 229084 0 8324 2639460 19476 47804 1099356 1903748 0 8120316 0 8120316 0 0 96 0 0 2540196 19371 2 5815 0 0 0 0 8832 23 19 13 18 0 0 0 0 0 140 0 141 19384 2 19386 12 0 12
470 20150424 15:23:03 96 0 4 0 0 0 0 0 100 1064 2029 1 292 2 2.48 2.50 2.40 2 1 4016700 3757592 259108 0 8332 2611652 19484 47804 1098596 1902884 0 8120316 0 8120316 0 0 96 0 0 2512300 15956 3 10057 0 0 0 0 8832 31 28 19 29 0 0 0 0 0 124 0 124 15917 3 15920 1 0 1
480 20150424 15:23:13 96 0 3 0 0 1 0 0 100 1066 2444 0 291 2 2.41 2.48 2.40 2 0 4016700 3749168 267532 0 8340 2602572 19464 47804 1097900 1902176 0 8120316 0 8120316 0 0 84 0 0 2503180 22260 3 3727 0 0 0 0 8824 23 23 12 26 0 0 0 0 0 160 0 161 22286 3 22288 15 0 15
490 20150424 15:23:23 96 0 4 0 0 0 0 0 100 1092 2169 1 291 2 2.35 2.47 2.39 2 1 4016700 3752888 263812 0 8332 2604760 19488 47804 1099072 1903336 0 8120316 0 8120316 0 0 80 0 0 2505456 17732 5 7676 0 0 0 0 8836 54 53 44 53 0 1 0 0 0 135 0 136 17719 5 17724 4 0 4
500 20150424 15:23:33 96 0 3 0 0 0 0 0 100 1099 2136 0 291 2 2.29 2.45 2.39 2 0 4016700 3771000 245700 0 8332 2622764 19496 47804 1098168 1902364 0 8120316 0 8120316 0 0 68 0 0 2523476 16474 6 8293 0 0 0 0 8840 21 8 18 2 0 1 0 0 0 128 0 128 16500 6 16506 1 0 2
510 20150424 15:23:43 96 0 3 0 0 0 0 0 100 1037 2059 0 291 4 2.25 2.44 2.38 4 0 4016700 3805588 211112 0 8340 2657504 19472 47804 1098700 1902988 0 8120316 0 8120316 0 0 48 0 0 2558288 17001 3 8328 0 0 0 0 8828 12 2 2 1 0 2 0 0 0 132 1 133 16975 3 16978 1 0 1
520 20150424 15:23:53 96 0 3 0 0 1 0 0 100 1108 2202 1 291 2 2.37 2.46 2.39 2 1 4016700 3761576 255124 0 8332 2614400 19484 47804 1098004 1902144 0 8120316 0 8120316 0 0 64 0 0 2515084 17896 3 7564 0 0 0 0 8832 23 21 12 22 0 0 0 0 0 137 0 137 17896 3 17900 4 0 4
530 20150424 15:24:03 96 0 4 0 0 0 0 0 100 1092 2646 0 291 2 2.47 2.47 2.40 2 0 4016700 3750284 266416 0 8332 2603808 19476 47804 1097372 1901600 0 8120316 0 8120316 0 0 76 0 0 2504460 24556 2 2608 0 0 0 0 8832 30 34 13 42 0 0 0 0 0 164 0 164 24569 2 24571 28 0 29
540 20150424 15:24:13 95 0 5 0 0 0 0 0 100 1097 2523 1 291 2 2.54 2.49 2.40 2 0 4016700 3765172 251528 0 8332 2618636 19484 47804 1097144 1901284 0 8120316 0 8120316 0 0 80 0 0 2519288 22711 3 8587 0 0 0 0 8836 29 30 13 34 0 0 0 0 0 162 0 162 22724 3 22727 16 0 16
550 20150424 15:24:23 96 0 3 0 0 0 0 0 100 1059 2123 0 291 2 2.46 2.48 2.40 2 0 4016700 3755996 260704 0 8332 2607012 19464 47804 1099756 1904108 0 8120316 0 8120316 0 0 84 0 0 2507816 17551 1 10851 0 0 0 0 8824 21 17 12 18 0 1 0 0 0 133 0 134 17551 1 17552 4 0 4
560 20150424 15:24:33 96 0 4 0 0 0 0 0 100 1083 2200 1 291 2 2.47 2.48 2.40 2 0 4016700 3802504 214196 0 8332 2654064 19488 47804 1099036 1903080 0 8120316 0 8120316 0 0 64 0 0 2554748 18741 8 6793 0 0 0 0 8836 37 35 22 37 0 1 0 0 0 143 1 144 18741 8 18750 4 0 4
570 20150424 15:24:43 96 0 4 0 0 0 0 0 100 1085 2086 1 292 2 2.40 2.46 2.40 2 1 4016700 3757244 259456 0 8336 2608080 19568 47804 1100068 1904120 0 8120316 0 8120316 0 0 64 0 0 2508832 16524 3 10631 0 0 0 0 8836 35 36 13 45 0 1 0 0 0 123 0 123 16497 3 16500 7 0 7
580 20150424 15:24:53 95 0 4 0 0 0 0 0 100 1068 2051 0 292 4 2.34 2.45 2.39 3 0 4016700 3781772 234928 0 8336 2633860 19496 47804 1098804 1902832 0 8120316 0 8120316 0 0 92 0 0 2534528 16375 1 10689 0 0 0 0 8800 30 26 18 27 0 0 0 0 0 125 0 125 16402 1 16404 4 0 4
590 20150424 15:25:03 96 0 4 0 0 0 0 0 100 1069 2073 1 293 2 2.36 2.45 2.40 2 0 4016700 3785516 231184 0 8336 2636664 19488 47804 1100464 1904548 0 8120316 0 8120316 0 0 96 0 0 2537228 16170 5 11666 2 0 0 0 8808 10 4 2 2 0 1 0 0 0 128 1 128 16170 5 16175 2 0 2
600 20150424 15:25:13 96 0 3 0 0 0 0 0 100 1037 2041 0 292 2 2.55 2.48 2.41 2 1 4016700 3767256 249444 0 8336 2618120 19436 47804 1099312 1903268 0 8120316 0 8120316 0 0 100 0 0 2518820 16500 6 9349 0 0 0 0 8788 14 6 11 1 0 0 0 0 0 128 1 129 16474 6 16480 1 1 2
