Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
350 20150425 13:36:03 69 0 3 11 0 2 0 15 74 5241 2430 1 301 2 4.03 4.55 4.17 2 3 4016700 3751560 265140 0 58980 2465296 41852 48012 1164036 1867320 0 8120316 1052 8119264 0 0 80 0 0 2343788 26280 7 8691 0 0 0 0 9316 3680 8155 292 12048 0 0 0 0 0 183 1 184 26152 7 26159 23 0 23
360 20150425 13:36:13 81 0 3 4 0 2 0 10 87 5224 2484 0 300 1 3.78 4.48 4.16 1 1 4016700 3803128 213572 0 58980 2519676 41832 48012 1162784 1866020 0 8120316 1052 8119264 0 0 76 0 0 2398260 27625 2 9330 0 0 0 0 9296 3671 8142 263 12042 0 0 0 0 0 194 0 194 27702 2 27704 23 0 23
370 20150425 13:36:23 89 0 3 1 0 3 0 4 94 5277 2876 1 301 2 3.97 4.50 4.17 2 4 4016700 3752032 264668 0 58980 2467508 41808 48012 1162912 1866008 0 8120316 1052 8119264 0 0 80 0 0 2346008 34360 1 1117 0 0 0 0 9280 3717 8170 274 12043 0 0 0 0 0 223 0 223 34251 1 34252 46 0 46
380 20150425 13:36:33 88 0 4 2 0 3 0 4 94 5215 2527 1 301 2 3.67 4.41 4.14 2 2 4016700 3748328 268372 0 58988 2461956 41832 48012 1164408 1867624 0 8120316 1052 8119264 0 0 64 0 0 2340452 29722 8 10302 0 0 0 0 9292 3682 8143 253 12048 0 0 0 0 0 205 1 206 29831 8 29839 29 0 30
390 20150425 13:36:43 83 0 4 3 0 2 0 7 89 5212 2470 1 301 5 3.40 4.33 4.12 4 1 4016700 3779188 237512 0 58988 2491880 41804 48012 1164196 1867212 0 8120316 1052 8119264 0 0 68 0 0 2370512 28734 1 11090 0 0 0 0 9276 3660 8140 252 12048 0 0 0 0 0 202 0 203 28696 1 28697 22 0 22
400 20150425 13:36:53 93 0 5 0 0 2 0 0 100 5184 2526 0 300 2 3.50 4.32 4.12 3 0 4016700 3751644 265056 0 58988 2463752 41800 48012 1165156 1868292 0 8120316 1052 8119264 0 0 64 0 0 2342428 31006 3 13440 0 0 0 0 9264 3656 8138 250 12048 0 0 0 0 0 213 0 213 31057 3 31060 30 0 30
410 20150425 13:37:03 63 0 3 3 0 2 0 29 68 5012 2118 1 301 2 3.20 4.23 4.09 2 5 4016700 3761868 254832 0 58996 2473484 41852 48012 1165780 1869012 0 8120316 1052 8119264 0 0 84 0 0 2351968 23856 4 7924 0 0 0 0 9316 3694 8161 293 12048 0 0 0 0 0 165 0 165 23766 4 23770 22 0 22
420 20150425 13:37:13 76 0 3 0 0 2 0 19 81 5083 2298 0 303 1 3.70 4.30 4.12 0 0 4016700 3764604 252096 0 59004 2485592 41860 48012 1159600 1862660 0 8120316 1052 8119264 0 0 68 0 0 2364148 26195 5 9731 0 0 0 0 9328 3684 8152 275 12049 0 0 0 0 0 180 1 181 26323 5 26328 25 0 25
430 20150425 13:37:23 84 0 4 1 0 3 0 8 91 5146 2382 0 301 2 4.07 4.36 4.14 2 2 4016700 3749948 266752 0 59004 2463792 41816 48012 1163640 1866740 0 8120316 1052 8119264 0 0 76 0 0 2342412 29104 3 11036 0 0 0 0 9284 3668 8138 252 12044 0 0 0 0 0 198 0 198 29002 3 29005 29 0 30
440 20150425 13:37:33 67 0 3 2 0 2 0 26 72 5038 2184 1 301 2 3.66 4.27 4.11 2 1 4016700 3766224 250476 0 59004 2480512 41856 48012 1163208 1866480 0 8120316 1052 8119264 0 0 56 0 0 2359092 24500 2 8471 0 0 0 0 9316 3688 8155 295 12048 0 0 0 0 0 172 0 172 24526 2 24528 20 0 20
450 20150425 13:37:43 92 0 4 2 0 2 0 0 98 5232 2404 0 300 2 3.94 4.31 4.12 2 3 4016700 3777328 239372 0 59004 2490444 41796 48012 1165148 1868372 0 8120316 1052 8119264 0 0 60 0 0 2368976 30279 7 10424 0 0 0 0 9260 3664 8142 251 12048 0 0 0 0 0 202 1 203 30215 7 30222 35 0 36
